Frecuencia(Hz),"	mm/Seg(PC)"
1521.875,0.029457
1523.438,0.034937
1525,0.041924
1526.563,0.038088
1528.125,0.044664
1529.688,0.035348
1531.25,0.023976
1532.813,0.04165
1534.375,0.055625
1535.938,0.122758
1537.5,0.087137
1539.063,0.049871
1540.625,0.06823
1542.188,0.08604
1543.75,0.079464
1545.313,0.370467
1546.875,0.666403
1548.438,0.355123
1550,0.092069
1551.563,0.063571
1553.125,0.059735
1554.688,0.058913
1556.25,0.03754
1557.813,0.082204
1559.375,0.174273
1560.938,0.670787
1562.5,0.990836
1564.063,0.50857
1565.625,0.15564
1567.188,0.059735
1568.75,0.058091
1570.313,0.050145
1571.875,0.092617
1573.438,0.117826
1575,0.070696
1576.563,0.058913
1578.125,0.053433
1579.688,0.042746
1581.25,0.040006
1582.813,0.049871
1584.375,0.06823
1585.938,0.082204
1587.5,0.245517
1589.063,0.242229
1590.625,0.098097
1592.188,0.058091
1593.75,0.084944
1595.313,0.101933
1596.875,0.092069
1598.438,0.07508
1600,0.071244
1601.563,0.047404
1603.125,0.04302
1604.688,0.049871
1606.25,0.049049
1607.813,0.04165
1609.375,0.08604
1610.938,0.087137
1612.5,0.095905
1614.063,0.170985
1615.625,0.117826
1617.188,0.056447
1618.75,0.041924
1620.313,0.069874
1621.875,0.090973
1623.438,0.0833
1625,0.092069
1626.563,0.130431
1628.125,0.082204
1629.688,0.074532
1631.25,0.092069
1632.813,0.110154
1634.375,0.149064
1635.938,0.434039
1637.5,0.361699
1639.063,0.15016
1640.625,0.090973
1642.188,0.160024
1643.75,0.245517
1645.313,0.139747
1646.875,0.055077
1648.438,0.056447
1650,0.069874
1651.563,0.105221
1653.125,0.096453
1654.688,0.07782
1656.25,0.07782
1657.813,0.101933
1659.375,0.094261
1660.938,0.090973
1662.5,0.149064
1664.063,0.085492
1665.625,0.057269
1667.188,0.07234
1668.75,0.061927
1670.313,0.125499
1671.875,0.141391
1673.438,0.079464
1675,0.139747
1676.563,0.15016
1678.125,0.090973
1679.688,0.067408
1681.25,0.071244
1682.813,0.0833
1684.375,0.080012
1685.938,0.089329
1687.5,0.089329
1689.063,0.123854
1690.625,0.207155
1692.188,0.210443
1693.75,0.128787
1695.313,0.116182
1696.875,0.080012
1698.438,0.057269
1700,0.082204
1701.563,0.101933
1703.125,0.08056
1704.688,0.072888
1706.25,0.070696
1707.813,0.046034
1709.375,0.098645
1710.938,0.145776
1712.5,0.136459
1714.063,0.14468
1715.625,0.087685
1717.188,0.100289
1718.75,0.085492
1720.313,0.199482
1721.875,0.164409
1723.438,0.103577
1725,0.11125
1726.563,0.15564
1728.125,0.090425
1729.688,0.090973
1731.25,0.076724
1732.813,0.099741
1734.375,0.114538
1735.938,0.11125
1737.5,0.117826
1739.063,0.451576
1740.625,0.552413
1742.188,0.199482
1743.75,0.121114
1745.313,0.141391
1746.875,0.10851
1748.438,0.069052
1750,0.059735
1751.563,0.054255
1753.125,0.078368
1754.688,0.089329
1756.25,0.076176
1757.813,0.061379
1759.375,0.066859
1760.938,0.098645
1762.5,0.087137
1764.063,0.053433
1765.625,0.055077
1767.188,0.083848
1768.75,0.138103
1770.313,0.145776
1771.875,0.117826
1773.438,0.089329
1775,0.070696
1776.563,0.0833
1778.125,0.112894
1779.688,0.092617
1781.25,0.090425
1782.813,0.203867
1784.375,0.565565
1785.938,0.515147
1787.5,0.153448
1789.063,0.174273
1790.625,0.128787
1792.188,0.085492
1793.75,0.079464
1795.313,0.063571
1796.875,0.093165
1798.438,0.15564
1800,0.407733
1801.563,0.34197
1803.125,0.145776
1804.688,0.076724
1806.25,0.081656
1807.813,0.08604
1809.375,0.116182
1810.938,0.127143
1812.5,0.084944
1814.063,0.063571
1815.625,0.054255
1817.188,0.132075
1818.75,0.229076
1820.313,0.180849
1821.875,0.127143
1823.438,0.110154
1825,0.121114
1826.563,0.105221
1828.125,0.100289
1829.688,0.112894
1831.25,0.169889
1832.813,0.339778
1834.375,0.272918
1835.938,0.254285
1837.5,0.298128
1839.063,0.149064
1840.625,0.082204
1842.188,0.083848
1843.75,0.096453
1845.313,0.079464
1846.875,0.178657
1848.438,0.333201
1850,0.247709
1851.563,0.112894
1853.125,0.071244
1854.688,0.059735
1856.25,0.054255
1857.813,0.092617
1859.375,0.110154
1860.938,0.11947
